Garamond 157 Fount (Chars=Capitals) (Style=s)
Case Layout: case_layout/layout32.txt
Wedge: S536-11.25
Wedge Units: [5, 6, 7, 8, 9, 9, 10, 10, 11, 12, 13, 14, 15, 17, 18, 18]
Galley Width: 37 pica (155mm)
Setsize: 11.25
Calc units of set per line: 710.4
Quad: Position: ('H', 15)
Jspace: Position: ('H', 2)

Increase the speed of the punch...
**p30
**d100
Send commands to test all the punches, then advance 400mm (125 linefeeds)
**t4
**f125
|------------------------------o| '0005' ['0005'] Caster Stopping
|------------o-----------------o| '0005/0075' ['0005', '0075'] Caster Stopping
|------o------------------------| '█' ['H', '15'] Caster Stopping
|------o------------------------| '█' ['H', '15'] Caster Stopping
|------o------------------------| '█' ['H', '15'] 
|------o------------------------| '█' ['H', '15'] 
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 0 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 10 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 20 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 30 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 40 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 50 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 60 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 70 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 80 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 90 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 100 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 110 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 120 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 130 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 140 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 150 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 160 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 170 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 180 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 190 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 200 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 210 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 220 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 230 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 240 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 250 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 260 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 270 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 280 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 290 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 300 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 310 of 638.4
|----------o-----------o--------| 'A' ['E', '7']  Width: 10, Used: 320 of 638.4
|------o------------------------| '█' ['H', '15']  Width: 18, Used: 330 of 638.4
|-------------o------o----------| 'B' ['C', '5']  Width: 9, Used: 348 of 638.4
|-------------o------o----------| 'B' ['C', '5']  Width: 9, Used: 357 of 638.4
|-------------o------o----------| 'B' ['C', '5']  Width: 9, Used: 366 of 638.4
|-------------o------o----------| 'B' ['C', '5']  Width: 9, Used: 375 of 638.4
|-------------o------o----------| 'B' ['C', '5']  Width: 9, Used: 384 of 638.4
|-------------o------o----------| 'B' ['C', '5']  Width: 9, Used: 393 of 638.4
|-------------o------o----------| 'B' ['C', '5']  Width: 9, Used: 402 of 638.4
|-------------o------o----------| 'B' ['C', '5']  Width: 9, Used: 411 of 638.4
|-------------o------o----------| 'B' ['C', '5']  Width: 9, Used: 420 of 638.4
|-------------o------o----------| 'B' ['C', '5']  Width: 9, Used: 429 of 638.4
|-------------o------o----------| 'B' ['C', '5']  Width: 9, Used: 438 of 638.4
|-------------o------o----------| 'B' ['C', '5']  Width: 9, Used: 447 of 638.4
|-------------o------o----------| 'B' ['C', '5']  Width: 9, Used: 456 of 638.4
|-------------o------o----------| 'B' ['C', '5']  Width: 9, Used: 465 of 638.4
|-------------o------o----------| 'B' ['C', '5']  Width: 9, Used: 474 of 638.4
|------o------------------------| '█' ['H', '15']  Width: 18, Used: 483 of 638.4
|-----------o-----------o-------| 'C' ['D', '8']  Width: 10, Used: 501 of 638.4
|-----------o-----------o-------| 'C' ['D', '8']  Width: 10, Used: 511 of 638.4
|-----------o-----------o-------| 'C' ['D', '8']  Width: 10, Used: 521 of 638.4
|-----------o-----------o-------| 'C' ['D', '8']  Width: 10, Used: 531 of 638.4
|-----------o-----------o-------| 'C' ['D', '8']  Width: 10, Used: 541 of 638.4
|-----------o-----------o-------| 'C' ['D', '8']  Width: 10, Used: 551 of 638.4
|-----------o-----------o-------| 'C' ['D', '8']  Width: 10, Used: 561 of 638.4
|-----------o-----------o-------| 'C' ['D', '8']  Width: 10, Used: 571 of 638.4
|-----------o-----------o-------| 'C' ['D', '8']  Width: 10, Used: 581 of 638.4
|-----------o-----------o-------| 'C' ['D', '8']  Width: 10, Used: 591 of 638.4
|-----------o-----------o-------| 'C' ['D', '8']  Width: 10, Used: 601 of 638.4
|-----------o-----------o-------| 'C' ['D', '8']  Width: 10, Used: 611 of 638.4
|-----------o-----------o-------| 'C' ['D', '8']  Width: 10, Used: 621 of 638.4
|------o--o-------o-------------| ' ' ['S', 'H', '2'] Justification Space
|------o------------------------| '█' ['H', '15'] 
|------o------------------------| '█' ['H', '15'] 
|------------o-------o----------| '0075' ['0075', '5']  Unset: 3.4, Units to 1 j-spaces: 1.4, req_0005"_steps: 26 = round(1.4 * 12 * 1.537)
|------------o------o----------o| '0005/0075' ['0005', '0075', '4']  Justification: (26 + 53) / 15 = 5/4
|------o------------------------| '█' ['H', '15'] 
|------o------------------------| '█' ['H', '15'] 
|-----------o-----------o-------| 'C' ['D', '8']  Width: 10, Used: 0 of 638.4
|-----------o-----------o-------| 'C' ['D', '8']  Width: 10, Used: 10 of 638.4
|-----------o-----------o-------| 'C' ['D', '8']  Width: 10, Used: 20 of 638.4
|-----------o-----------o-------| 'C' ['D', '8']  Width: 10, Used: 30 of 638.4
|-----------o-----------o-------| 'C' ['D', '8']  Width: 10, Used: 40 of 638.4
|------o------------------------| '█' ['H', '15']  Width: 18, Used: 50 of 638.4
|-----------o------------o------| 'D' ['D', '9']  Width: 11, Used: 68 of 638.4
|-----------o------------o------| 'D' ['D', '9']  Width: 11, Used: 79 of 638.4
|-----------o------------o------| 'D' ['D', '9']  Width: 11, Used: 90 of 638.4
|-----------o------------o------| 'D' ['D', '9']  Width: 11, Used: 101 of 638.4
|-----------o------------o------| 'D' ['D', '9']  Width: 11, Used: 112 of 638.4
|-----------o------------o------| 'D' ['D', '9']  Width: 11, Used: 123 of 638.4
|-----------o------------o------| 'D' ['D', '9']  Width: 11, Used: 134 of 638.4
|-----------o------------o------| 'D' ['D', '9']  Width: 11, Used: 145 of 638.4
|-----------o------------o------| 'D' ['D', '9']  Width: 11, Used: 156 of 638.4
|-----------o------------o------| 'D' ['D', '9']  Width: 11, Used: 167 of 638.4
|-----------o------------o------| 'D' ['D', '9']  Width: 11, Used: 178 of 638.4
|-----------o------------o------| 'D' ['D', '9']  Width: 11, Used: 189 of 638.4
|-----------o------------o------| 'D' ['D', '9']  Width: 11, Used: 200 of 638.4
|-----------o------------o------| 'D' ['D', '9']  Width: 11, Used: 211 of 638.4
|-----------o------------o------| 'D' ['D', '9']  Width: 11, Used: 222 of 638.4
|-----------o------------o------| 'D' ['D', '9']  Width: 11, Used: 233 of 638.4
|-----------o------------o------| 'D' ['D', '9']  Width: 11, Used: 244 of 638.4
|-----------o------------o------| 'D' ['D', '9']  Width: 11, Used: 255 of 638.4
|-----------o------------o------| 'D' ['D', '9']  Width: 11, Used: 266 of 638.4
|-----------o------------o------| 'D' ['D', '9']  Width: 11, Used: 277 of 638.4
|-----------o------------o------| 'D' ['D', '9']  Width: 11, Used: 288 of 638.4
|------o------------------------| '█' ['H', '15']  Width: 18, Used: 299 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 317 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 326 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 335 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 344 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 353 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 362 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 371 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 380 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 389 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 398 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 407 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 416 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 425 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 434 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 443 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 452 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 461 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 470 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 479 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 488 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 497 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 506 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 515 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 524 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 533 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 542 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 551 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 560 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 569 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 578 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 587 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 596 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 605 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 614 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 623 of 638.4
|------o--o-------o-------------| ' ' ['S', 'H', '2'] Justification Space
|------o------------------------| '█' ['H', '15'] 
|------o------------------------| '█' ['H', '15'] 
|------------o------o-----------| '0075' ['0075', '4']  Unset: 2.4, Units to 1 j-spaces: 0.4, req_0005"_steps: 7 = round(0.4 * 12 * 1.537)
|------------o-----------------o| '0005/0075' ['0005', '0075', '0']  Justification: (7 + 53) / 15 = 4/0
|------o------------------------| '█' ['H', '15'] 
|------o------------------------| '█' ['H', '15'] 
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 0 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 9 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 18 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 27 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 36 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 45 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 54 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 63 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 72 of 638.4
|-------------o-------o---------| 'E' ['C', '6']  Width: 9, Used: 81 of 638.4
